task_type,session_name,run_dir,model_name,size,shortlisted,recommended
bev_detection,onnxrt,3dod-8161_onnxrt_pandaset_mmdet3d_fastbev_mod_pandaset_nms_r18_f1_256x704_20250507_onnx,ONR-3DOD-8161-fastbev_mod_pandaset_nms_r18_f1_256x704_20250507,70422066,False,False
classification,tflitert,cl-0000_tflitert_imagenet1k_mlperf_mobilenet_v1_1.0_224_tflite,TFL-CL-0000-mobileNetV1-mlperf,19601071,True,True
classification,tflitert,cl-0010_tflitert_imagenet1k_tf1-models_mobilenet_v2_1.0_224_tflite,TFL-CL-0010-mobileNetV2,16599236,True,False
classification,tflitert,cl-0040_tflitert_imagenet1k_tf1-models_inception_v3_tflite,TFL-CL-0040-InceptionNetV3,109155923,False,False
classification,tflitert,cl-0080_tflitert_imagenet1k_mlperf_mobilenet_edgetpu_224_1.0_float_tflite,TFL-CL-0080-mobileNet-edgeTPU-mlperf,19297390,True,False
classification,tflitert,cl-0090_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-S_float_tflite,TFL-CL-0090-efficientNet-edgeTPU-s,25668268,True,False
classification,tflitert,cl-0100_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-M_float_tflite,TFL-CL-0100-efficientNet-edgeTPU-m,32593500,False,False
classification,tflitert,cl-0130_tflitert_imagenet1k_tf-tpu_efficientnet-lite0-fp32_tflite,TFL-CL-0130-efficientNet-lite0,21872728,True,False
classification,tflitert,cl-0140_tflitert_imagenet1k_tf-tpu_efficientnet-lite4-fp32_tflite,TFL-CL-0140-efficientNet-lite4,61333501,True,False
classification,tflitert,cl-0160_tflitert_imagenet1k_mlperf_resnet50_v1_tflite,TFL-CL-0160-resNet50V1p5-mlperf,116874919,True,False
classification,tflitert,cl-0170_tflitert_imagenet1k_tf-tpu_efficientnet-lite1-fp32_tflite,TFL-CL-0170-efficientNet-lite1,25600256,False,False
classification,tflitert,cl-0200_tflitert_imagenet1k_tf1-models_mobilenet_v2_float_1.4_224_tflite,TFL-CL-0200-mobileNetV2-1p4,28690498,False,False
classification,tvmdlr,cl-3090_tvmdlr_imagenet1k_torchvision_mobilenet_v2_tv_onnx,TVM-CL-3090-mobileNetV2-tv,45572116,True,True
classification,onnxrt,cl-6010_onnxrt_imagenet1k_mlperf_resnet50_v1_shape_onnx,ONR-CL-6010-resNet50V1p5-mlperf-onnx,116869472,True,False
classification,onnxrt,cl-6080_onnxrt_imagenet1k_torchvision_shufflenet_v2_x1.0_onnx,ONR-CL-6080-shuffleNetV2,10764443,False,False
classification,onnxrt,cl-6090_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_onnx,ONR-CL-6090-mobileNetV2-tv,16438683,True,False
classification,onnxrt,cl-6098_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_qat-p2_onnx,ONR-CL-6098-mobileNetV2-tv-qat,15799508,True,False
classification,onnxrt,cl-6100_onnxrt_imagenet1k_torchvision_resnet18_onnx,ONR-CL-6100-resNet18,53309322,True,False
classification,onnxrt,cl-6110_onnxrt_imagenet1k_torchvision_resnet50_onnx,ONR-CL-6110-resNet50,117206336,True,False
classification,onnxrt,cl-6160_onnxrt_imagenet1k_torchvision_regnet_x_400mf_tv_onnx,ONR-CL-6160-regNetX-400mf-tv,25666611,True,False
